                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.89663,                0.60348,                 1.0339,                0.85486,                0.84257,                0.88543,                0.64289,                0.97139,                0.61472,                 1.0252,               0.002773,               0.002773,               0.002773
                     76,                0.90411,                0.60304,                 1.0355,                0.87252,                0.83177,                0.87819,                0.63503,                0.98229,                0.61629,                 1.0388,               0.002674,               0.002674,               0.002674
                     77,                 0.8923,                0.58545,                 1.0286,                0.87689,                0.81394,                0.87686,                0.62433,                 1.0032,                0.61879,                 1.0401,               0.002575,               0.002575,               0.002575
                     78,                0.88081,                0.59053,                  1.027,                0.88472,                0.81435,                0.88505,                0.63206,                 1.0011,                0.61103,                 1.0397,               0.002476,               0.002476,               0.002476
                     79,                0.88993,                0.58531,                 1.0327,                0.90898,                0.82713,                0.89283,                0.64089,                0.98852,                0.60508,                 1.0338,               0.002377,               0.002377,               0.002377
                     80,                0.87124,                0.57993,                 1.0231,                0.89628,                0.84414,                0.89961,                0.64937,                0.97849,                0.59766,                 1.0306,               0.002278,               0.002278,               0.002278
                     81,                0.86814,                0.57408,                  1.021,                0.84541,                0.84145,                0.88615,                0.63917,                0.98579,                0.59731,                 1.0329,               0.002179,               0.002179,               0.002179
                     82,                0.85951,                0.56946,                 1.0183,                0.86168,                0.82974,                0.88689,                0.63262,                0.99913,                0.60792,                 1.0359,                0.00208,                0.00208,                0.00208
                     83,                0.86469,                0.56621,                 1.0183,                0.87491,                 0.8247,                0.88458,                0.64468,                0.96345,                0.60822,                 1.0189,               0.001981,               0.001981,               0.001981
                     84,                0.86381,                0.57343,                 1.0235,                0.88429,                0.83802,                0.88878,                0.63374,                 1.0132,                0.59861,                 1.0428,               0.001882,               0.001882,               0.001882
